City,Temperature (Celsius),Feels Like (Celsius),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (degrees),Visibility (m),Cloudiness (%),Weather Condition,Time (UTC)
Delhi,28.05000000000001,28.600000000000023,51,1010,1.54,250,2500,0,Haze,2024-10-23 13:15:38,0
Mumbai,30.99000000000001,36.410000000000025,66,1009,3.09,350,2100,40,Haze,2024-10-23 13:14:35,0
Chennai,30.010000000000048,37.01000000000005,80,1008,4.02,108,4000,40,Mist,2024-10-23 13:17:45,0
Bangalore,22.170000000000016,22.74000000000001,88,1011,2.41,65,10000,100,Clouds,2024-10-23 13:21:04,0
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:17:45,0
Hyderabad,24.110000000000014,24.33000000000004,67,1011,2.79,53,10000,71,Clouds,2024-10-23 13:15:56,0
Delhi,28.05000000000001,28.600000000000023,51,1010,1.54,250,2500,0,Haze,2024-10-23 13:27:01,0
Mumbai,30.99000000000001,36.410000000000025,66,1009,3.09,350,2100,40,Haze,2024-10-23 13:27:09,0
Chennai,30.010000000000048,37.01000000000005,80,1008,4.02,108,4000,40,Mist,2024-10-23 13:25:12,0
Bangalore,22.170000000000016,22.74000000000001,88,1011,2.41,65,10000,100,Clouds,2024-10-23 13:25:44,0.1
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:23:56,0
Hyderabad,24.110000000000014,24.33000000000004,67,1011,2.79,53,10000,71,Clouds,2024-10-23 13:25:03,0
Delhi,28.05000000000001,28.600000000000023,51,1010,1.54,250,2500,0,Haze,2024-10-23 13:32:09,0
Mumbai,30.99000000000001,36.410000000000025,66,1010,3.09,350,2100,40,Haze,2024-10-23 13:30:01,0
Chennai,29.960000000000036,36.960000000000036,80,1009,4.02,108,4000,40,Mist,2024-10-23 13:31:14,0
Bangalore,22.170000000000016,22.74000000000001,88,1012,2.66,73,10000,100,Rain,2024-10-23 13:31:57,0.16
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:32:02,0
Hyderabad,23.629999999999995,23.900000000000034,71,1012,2.32,35,10000,84,Clouds,2024-10-23 13:30:13,0
Delhi,28.05000000000001,28.600000000000023,51,1010,1.54,250,2500,0,Haze,2024-10-23 13:30:30,0
Mumbai,30.99000000000001,36.410000000000025,66,1010,3.09,350,2100,40,Haze,2024-10-23 13:30:31,0
Chennai,29.960000000000036,36.960000000000036,80,1008,4.02,108,4000,40,Mist,2024-10-23 13:29:31,0
Bangalore,22.170000000000016,22.74000000000001,88,1012,2.66,73,10000,100,Rain,2024-10-23 13:35:13,0.18
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:27:01,0
Hyderabad,23.629999999999995,23.900000000000034,71,1012,2.32,35,10000,84,Clouds,2024-10-23 13:30:32,0
Delhi,28.05000000000001,28.600000000000023,51,1010,1.54,250,2500,0,Haze,2024-10-23 13:42:10,0
Mumbai,30.99000000000001,36.410000000000025,66,1010,3.09,350,2100,40,Haze,2024-10-23 13:38:04,0
Chennai,30.07000000000005,37.07000000000005,80,1009,3.58,112,5000,40,Mist,2024-10-23 13:40:21,0
Bangalore,22.170000000000016,22.74000000000001,88,1012,2.66,73,10000,100,Clouds,2024-10-23 13:39:06,0
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:40:13,0
Hyderabad,23.629999999999995,23.900000000000034,71,1012,2.32,35,10000,84,Clouds,2024-10-23 13:37:48,0
Delhi,27.05000000000001,27.720000000000027,54,1010,2.57,250,2500,0,Haze,2024-10-23 13:45:50,0
Mumbai,30.99000000000001,36.410000000000025,66,1010,3.09,350,2100,40,Haze,2024-10-23 13:41:32,0
Chennai,30.07000000000005,37.07000000000005,80,1009,3.58,112,5000,40,Mist,2024-10-23 13:45:16,0
Bangalore,22.170000000000016,22.74000000000001,88,1012,2.66,73,10000,100,Rain,2024-10-23 13:42:57,0.13
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:43:11,0
Hyderabad,26.730000000000018,28.07000000000005,65,1012,2.57,50,4000,20,Mist,2024-10-23 13:45:12,0
Delhi,28.05000000000001,28.600000000000023,51,1010,1.54,250,2500,0,Haze,2024-10-23 13:40:57,0
Mumbai,30.99000000000001,36.410000000000025,66,1010,3.09,350,2100,40,Haze,2024-10-23 13:43:21,0
Chennai,30.07000000000005,37.07000000000005,80,1009,3.58,112,5000,40,Mist,2024-10-23 13:40:21,0
Bangalore,22.170000000000016,22.74000000000001,88,1012,2.66,73,10000,100,Rain,2024-10-23 13:47:49,0.26
Kolkata,25.970000000000027,25.970000000000027,89,1009,3.09,360,2800,75,Haze,2024-10-23 13:43:21,0
Hyderabad,23.629999999999995,23.900000000000034,71,1012,2.32,35,10000,84,Clouds,2024-10-23 13:40:43,0
